ID,Count
18288,548.402113552376
18289,436.060242331378
18290,371.797122186183
18291,306.171415412478
18292,259.816826876825
18293,233.914192108936
18294,251.433600203705
18295,297.93976385651
18296,338.21796747259
18297,438.267092155233
18298,611.254879282743
18299,667.473622757061
18300,665.191873666635
18301,589.997900758084
18302,621.060360305047
18303,617.387270889535
18304,604.06581479204
18305,610.738038793624
18306,630.427588012192
18307,675.10640311014
18308,644.601291942973
18309,603.310542627445
18310,604.587849743992
18311,598.682932338915
18312,548.402113552376
18313,436.060242331378
18314,371.797122186183
18315,306.171415412478
18316,259.816826876825
18317,233.914192108936
18318,251.433600203705
18319,297.93976385651
18320,338.21796747259
18321,438.267092155233
18322,611.254879282743
18323,667.473622757061
18324,665.191873666635
18325,589.997900758084
18326,621.060360305047
18327,617.387270889535
18328,604.06581479204
18329,610.738038793624
18330,630.427588012192
18331,675.10640311014
18332,644.601291942973
18333,603.310542627445
18334,604.587849743992
18335,598.682932338915
18336,548.402113552376
18337,436.060242331378
18338,371.797122186183
18339,306.171415412478
18340,259.816826876825
18341,233.914192108936
18342,251.433600203705
18343,297.93976385651
18344,338.21796747259
18345,438.267092155233
18346,611.254879282743
18347,667.473622757061
18348,665.191873666635
18349,589.997900758084
18350,621.060360305047
18351,617.387270889535
18352,604.06581479204
18353,610.738038793624
18354,630.427588012192
18355,675.10640311014
18356,644.601291942973
18357,603.310542627445
18358,604.587849743992
18359,598.682932338915
18360,548.402113552376
18361,436.060242331378
18362,371.797122186183
18363,306.171415412478
18364,259.816826876825
18365,233.914192108936
18366,251.433600203705
18367,297.93976385651
18368,338.21796747259
18369,438.267092155233
18370,611.254879282743
18371,667.473622757061
18372,665.191873666635
18373,589.997900758084
18374,621.060360305047
18375,617.387270889535
18376,604.06581479204
18377,610.738038793624
18378,630.427588012192
18379,675.10640311014
18380,644.601291942973
18381,603.310542627445
18382,604.587849743992
18383,598.682932338915
18384,548.402113552376
18385,436.060242331378
18386,371.797122186183
18387,306.171415412478
18388,259.816826876825
18389,233.914192108936
18390,251.433600203705
18391,297.93976385651
18392,338.21796747259
18393,438.267092155233
18394,611.254879282743
18395,667.473622757061
18396,665.191873666635
18397,589.997900758084
18398,621.060360305047
18399,617.387270889535
18400,604.06581479204
18401,610.738038793624
18402,630.427588012192
18403,675.10640311014
18404,644.601291942973
18405,603.310542627445
18406,604.587849743992
18407,598.682932338915
18408,548.402113552376
18409,436.060242331378
18410,371.797122186183
18411,306.171415412478
18412,259.816826876825
18413,233.914192108936
18414,251.433600203705
18415,297.93976385651
18416,338.21796747259
18417,438.267092155233
18418,611.254879282743
18419,667.473622757061
18420,665.191873666635
18421,589.997900758084
18422,621.060360305047
18423,617.387270889535
18424,604.06581479204
18425,610.738038793624
18426,630.427588012192
18427,675.10640311014
18428,644.601291942973
18429,603.310542627445
18430,604.587849743992
18431,598.682932338915
18432,548.402113552376
18433,436.060242331378
18434,371.797122186183
18435,306.171415412478
18436,259.816826876825
18437,233.914192108936
18438,251.433600203705
18439,297.93976385651
18440,338.21796747259
18441,438.267092155233
18442,611.254879282743
18443,667.473622757061
18444,665.191873666635
18445,589.997900758084
18446,621.060360305047
18447,617.387270889535
18448,604.06581479204
18449,610.738038793624
18450,630.427588012192
18451,675.10640311014
18452,644.601291942973
18453,603.310542627445
18454,604.587849743992
18455,598.682932338915
18456,548.402113552376
18457,436.060242331378
18458,371.797122186183
18459,306.171415412478
18460,259.816826876825
18461,233.914192108936
18462,251.433600203705
18463,297.93976385651
18464,338.21796747259
18465,438.267092155233
18466,611.254879282743
18467,667.473622757061
18468,665.191873666635
18469,589.997900758084
18470,621.060360305047
18471,617.387270889535
18472,604.06581479204
18473,610.738038793624
18474,630.427588012192
18475,675.10640311014
18476,644.601291942973
18477,603.310542627445
18478,604.587849743992
18479,598.682932338915
18480,548.402113552376
18481,436.060242331378
18482,371.797122186183
18483,306.171415412478
18484,259.816826876825
18485,233.914192108936
18486,251.433600203705
18487,297.93976385651
18488,338.21796747259
18489,438.267092155233
18490,611.254879282743
18491,667.473622757061
18492,665.191873666635
18493,589.997900758084
18494,621.060360305047
18495,617.387270889535
18496,604.06581479204
18497,610.738038793624
18498,630.427588012192
18499,675.10640311014
18500,644.601291942973
18501,603.310542627445
18502,604.587849743992
18503,598.682932338915
18504,548.402113552376
18505,436.060242331378
18506,371.797122186183
18507,306.171415412478
18508,259.816826876825
18509,233.914192108936
18510,251.433600203705
18511,297.93976385651
18512,338.21796747259
18513,438.267092155233
18514,611.254879282743
18515,667.473622757061
18516,665.191873666635
18517,589.997900758084
18518,621.060360305047
18519,617.387270889535
18520,604.06581479204
18521,610.738038793624
18522,630.427588012192
18523,675.10640311014
18524,644.601291942973
18525,603.310542627445
18526,604.587849743992
18527,598.682932338915
18528,548.402113552376
18529,436.060242331378
18530,371.797122186183
18531,306.171415412478
18532,259.816826876825
18533,233.914192108936
18534,251.433600203705
18535,297.93976385651
18536,338.21796747259
18537,438.267092155233
18538,611.254879282743
18539,667.473622757061
18540,665.191873666635
18541,589.997900758084
18542,621.060360305047
18543,617.387270889535
18544,604.06581479204
18545,610.738038793624
18546,630.427588012192
18547,675.10640311014
18548,644.601291942973
18549,603.310542627445
18550,604.587849743992
18551,598.682932338915
18552,548.402113552376
18553,436.060242331378
18554,371.797122186183
18555,306.171415412478
18556,259.816826876825
18557,233.914192108936
18558,251.433600203705
18559,297.93976385651
18560,338.21796747259
18561,438.267092155233
18562,611.254879282743
18563,667.473622757061
18564,665.191873666635
18565,589.997900758084
18566,621.060360305047
18567,617.387270889535
18568,604.06581479204
18569,610.738038793624
18570,630.427588012192
18571,675.10640311014
18572,644.601291942973
18573,603.310542627445
18574,604.587849743992
18575,598.682932338915
18576,548.402113552376
18577,436.060242331378
18578,371.797122186183
18579,306.171415412478
18580,259.816826876825
18581,233.914192108936
18582,251.433600203705
18583,297.93976385651
18584,338.21796747259
18585,438.267092155233
18586,611.254879282743
18587,667.473622757061
18588,665.191873666635
18589,589.997900758084
18590,621.060360305047
18591,617.387270889535
18592,604.06581479204
18593,610.738038793624
18594,630.427588012192
18595,675.10640311014
18596,644.601291942973
18597,603.310542627445
18598,604.587849743992
18599,598.682932338915
18600,548.402113552376
18601,436.060242331378
18602,371.797122186183
18603,306.171415412478
18604,259.816826876825
18605,233.914192108936
18606,251.433600203705
18607,297.93976385651
18608,338.21796747259
18609,438.267092155233
18610,611.254879282743
18611,667.473622757061
18612,665.191873666635
18613,589.997900758084
18614,621.060360305047
18615,617.387270889535
18616,604.06581479204
18617,610.738038793624
18618,630.427588012192
18619,675.10640311014
18620,644.601291942973
18621,603.310542627445
18622,604.587849743992
18623,598.682932338915
18624,548.402113552376
18625,436.060242331378
18626,371.797122186183
18627,306.171415412478
